id,type,host_Z,visits_needed,visits_done,started,completed
644,Ia,22.882,2,2,1,1
645,Ia,23.460,6,0,0,0
646,Ia,21.110,1,1,1,1
647,Ia,20.064,1,1,1,1
648,Ia,21.280,1,1,1,1
649,Ia,21.451,1,1,1,1
650,Ia,20.876,1,1,1,1
651,Ia,21.914,1,1,1,1
652,Ia,22.067,1,1,1,1
653,Ia,23.285,5,0,0,0
654,Ia,23.294,5,0,0,0
655,Ia,25.298,165,29,1,0
656,Ia,20.349,1,1,1,1
657,Ia,20.603,1,1,1,1
658,Ia,20.777,1,1,1,1
659,Ia,21.665,1,1,1,1
660,Ia,23.535,7,0,0,0
661,Ia,22.145,1,0,0,0
663,Ia,20.381,1,1,1,1
664,Ia,23.291,5,5,1,1
666,Ia,22.334,1,1,1,1
667,Ia,20.093,1,1,1,1
668,Ia,20.399,1,0,0,0
669,Ia,20.442,1,1,1,1
671,Ia,22.268,1,1,1,1
672,Ia,22.813,2,2,1,1
673,Ia,22.824,2,0,0,0
674,Ia,21.117,1,1,1,1
675,Ia,22.933,3,3,1,1
676,Ia,20.573,1,0,0,0
677,Ia,20.354,1,0,0,0
678,Ia,21.864,1,1,1,1
679,Ia,22.841,2,2,1,1
680,Ia,19.892,1,1,1,1
681,Ia,23.890,13,0,0,0
682,Ia,21.728,1,1,1,1
683,Ia,23.136,4,4,1,1
684,Ia,23.967,15,0,0,0
685,Ia,22.248,1,1,1,1
686,Ia,18.702,1,1,1,1
687,Ia,20.640,1,1,1,1
688,Ia,21.849,1,1,1,1
690,Ia,23.166,4,4,1,1
691,Ia,20.688,1,0,0,0
692,Ia,21.821,1,0,0,0
693,Ia,22.072,1,0,0,0
694,Ia,22.940,3,3,1,1
695,Ia,21.077,1,1,1,1
696,Ia,22.540,2,1,1,0
697,Ia,23.458,6,6,1,1
698,Ia,19.312,1,0,0,0
699,Ia,25.056,106,11,1,0
700,Ia,22.200,1,1,1,1
701,Ia,23.825,12,0,0,0
702,Ia,22.747,2,2,1,1
703,Ia,21.923,1,0,0,0
704,Ia,21.755,1,1,1,1
705,Ia,21.406,1,0,0,0
707,Ia,23.381,5,5,1,1
708,Ia,20.447,1,1,1,1
709,Ia,21.061,1,1,1,1
710,Ia,21.900,1,1,1,1
711,Ia,20.776,1,0,0,0
712,Ia,23.114,4,0,0,0
713,Ia,20.315,1,1,1,1
714,Ia,23.866,12,12,1,1
715,Ia,19.854,1,0,0,0
716,Ia,23.754,10,0,0,0
717,Ia,21.899,1,0,0,0
718,Ia,22.880,2,0,0,0
719,Ia,21.849,1,1,1,1
720,Ia,24.428,34,9,1,0
721,Ia,22.749,2,2,1,1
722,Ia,22.068,1,1,1,1
723,Ia,21.528,1,0,0,0
724,Ia,22.174,1,1,1,1
725,Ia,22.066,1,0,0,0
726,Ia,23.749,10,0,0,0
727,Ia,21.062,1,1,1,1
728,Ia,21.230,1,1,1,1
729,Ia,22.355,1,1,1,1
730,Ia,22.597,2,0,0,0
731,Ia,20.952,1,1,1,1
