field,SNID,RA_deg,DEC_deg,z_cmb,peakmag_Z
ELAIS-N1,2075608,240.83778,54.92857,0.4081,24.921
ELAIS-N1,942947,243.61674,54.59263,2.1887,25.045
ELAIS-N1,253624,242.45969,54.95146,1.2318,25.257
ELAIS-N1,605840,240.26599,55.37193,0.3819,24.640
ELAIS-N1,308960,243.51464,54.16171,0.9729,23.685
ELAIS-N1,781368,242.31315,53.92995,1.7152,25.241
ELAIS-N1,3187501,242.81347,55.31119,1.0602,26.000
ELAIS-N1,3250772,239.10574,54.65277,0.2598,22.225
ELAIS-N1,2767368,241.94748,55.03679,0.7059,25.421
ELAIS-N1,2196109,245.35367,54.37740,0.7733,22.139
ELAIS-N1,868040,243.31150,53.30811,0.8233,23.459
ELAIS-N1,2138112,239.95047,53.84644,0.7002,20.449
ELAIS-N1,1419585,243.83568,55.51396,1.0789,22.285
ELAIS-N1,3152698,239.49719,53.58428,0.4692,22.941
ELAIS-N1,2150179,243.45896,54.19682,0.9843,24.917
ELAIS-N1,2618057,244.02304,54.47280,0.9953,27.592
ELAIS-N1,1263679,242.69044,54.72507,0.8056,23.633
ELAIS-N1,164697,241.73901,55.29944,0.4925,25.682
ELAIS-N1,3121081,242.54941,55.37032,1.0862,22.826
ELAIS-N1,2908117,243.40059,54.23337,0.5695,24.898
ELAIS-N1,928057,244.12139,54.00642,0.5216,24.121
ELAIS-N1,178246,241.56336,53.54908,0.6259,23.723
ELAIS-N1,2245781,242.56190,52.48810,0.5171,21.009
ELAIS-N1,2316499,242.64847,55.00810,0.5055,21.734
ELAIS-N1,23198,240.64362,53.44003,1.7187,27.059
ELAIS-N1,674973,240.24938,55.82584,0.7428,24.924
ELAIS-N1,306076,244.63309,54.31728,0.4399,21.727
ELAIS-N1,1885550,245.01899,55.56238,0.7447,21.339
ELAIS-N1,1126005,244.03913,53.28540,0.4148,18.812
ELAIS-N1,2664753,241.15133,54.49648,1.0049,24.820
ELAIS-N1,1509392,243.65321,54.00467,0.2526,24.790
ELAIS-N1,3044095,241.32933,54.53321,0.7928,22.063
ELAIS-N1,3265016,241.78935,54.05629,0.9850,22.296
ELAIS-N1,2613134,243.17059,53.22343,0.5182,20.349
ELAIS-N1,2364436,245.69051,55.37183,0.8180,22.640
ELAIS-N1,1429561,242.72621,52.97073,0.4969,25.868
ELAIS-N1,801556,239.68053,54.42768,0.3711,21.755
ELAIS-N1,1300643,240.13747,55.35346,0.7517,22.453
ELAIS-N1,813711,241.90169,54.01684,1.4626,24.771
ELAIS-N1,3189185,242.10989,55.20487,0.9632,23.002
ELAIS-N1,647770,244.86958,55.46698,1.0269,21.995
ELAIS-N1,406089,240.40141,54.80831,0.7529,24.222
ELAIS-N1,811218,243.48106,54.81597,0.9102,24.166
ELAIS-N1,1477339,239.50882,54.88048,1.1293,26.550
ELAIS-N1,480429,241.93308,54.24430,0.9076,24.378
ELAIS-N1,2171078,242.51441,56.32699,0.5250,27.628
ELAIS-N1,2608618,241.77809,54.06460,0.7492,26.646
ELAIS-N1,1366726,241.12228,56.06394,1.4084,25.507
ELAIS-N1,823560,244.67353,56.04095,0.8830,22.578
ELAIS-N1,1905630,242.71947,54.20702,0.5987,21.398
ELAIS-N1,1738261,241.18434,55.80195,0.5445,22.737
ELAIS-N1,1933729,241.05594,56.25555,0.6170,27.328
ELAIS-N1,70288,242.57098,54.79702,0.8183,22.574
ELAIS-N1,2148575,242.11277,54.51078,0.7824,24.509
ELAIS-N1,537652,241.67935,55.14407,0.2454,19.602
ELAIS-N1,2497911,241.59104,56.36978,0.5194,20.432
ELAIS-N1,330933,242.58250,56.27952,1.0524,24.679
ELAIS-N1,3114115,242.48919,54.24528,1.0105,23.358
ELAIS-N1,2961160,243.46687,52.92285,0.7272,23.515
ELAIS-N1,1182106,240.60641,53.45231,0.4783,23.532
ELAIS-N1,1577887,242.44312,54.38864,0.4219,23.309
ELAIS-N1,2838660,239.86079,53.45145,0.6596,22.399
ELAIS-N1,663260,242.98793,54.92814,1.2150,23.240
ELAIS-N1,498610,240.65112,53.03072,0.8559,21.998
ELAIS-N1,538584,244.30839,53.81308,0.8335,22.147
ELAIS-N1,3178325,240.27428,53.79949,0.5579,23.532
ELAIS-N1,2996100,243.51298,56.50760,0.4680,21.682
ELAIS-N1,1814260,242.37963,55.25153,1.3048,22.879
ELAIS-N1,621004,244.40565,53.88598,0.7854,21.230
ELAIS-N1,1143282,244.25252,53.22353,0.6344,25.647
ELAIS-N1,106228,241.40141,56.13608,0.8237,28.090
ELAIS-N1,2966,243.20176,55.15555,1.2227,24.157
ELAIS-N1,541551,242.06454,54.34119,0.8039,22.526
ELAIS-N1,2949616,241.72589,54.24209,0.5119,20.968
ELAIS-N1,1637474,240.89258,53.04201,0.8303,23.579
ELAIS-N1,3023008,242.72614,54.62607,0.5768,21.762
ELAIS-N1,1876238,242.50779,54.49641,0.6954,25.700
ELAIS-N1,2301965,245.69328,53.99220,0.6123,26.024
ELAIS-N1,3196213,243.23690,54.46022,1.2093,23.933
ELAIS-N1,1174799,241.39449,54.14909,0.3936,25.626
ELAIS-N1,3236752,241.46378,54.31753,0.4952,22.527
ELAIS-N1,2598731,244.52646,53.70508,0.7687,23.244
ELAIS-N1,1967753,241.71288,54.60234,0.6076,21.365
ELAIS-N1,484581,243.28733,55.12052,0.8295,25.736
ELAIS-N1,2078572,243.19313,54.84443,0.4665,24.549
ELAIS-N1,1030952,244.64509,53.74033,0.7209,25.885
ELAIS-N1,3037874,241.94497,54.46090,0.9700,26.996
ELAIS-N1,671612,244.62057,55.31144,0.5883,24.279
ELAIS-N1,1181079,243.63447,56.48260,0.4353,22.301
ELAIS-N1,572521,240.51876,54.69969,0.5104,21.788
ELAIS-N1,1807382,240.98494,52.80344,0.5043,23.598
ELAIS-N1,2778201,239.35982,55.06185,0.7975,26.707
ELAIS-N1,3255274,243.95591,54.48480,0.6920,25.697
ELAIS-N1,2958063,241.28999,55.14447,0.9819,22.971
ELAIS-N1,1593548,242.59627,53.85782,0.7036,25.046
ELAIS-N1,1169814,240.59081,56.07706,0.8254,25.605
ELAIS-N1,697431,243.68056,54.08857,0.6806,20.778
ELAIS-N1,1597797,241.59817,53.69241,0.6986,21.204
ELAIS-N1,3292057,243.40024,54.11299,0.9132,26.543
ELAIS-N1,1663921,241.55543,52.64596,0.7181,21.623
ELAIS-N1,2035929,243.99653,54.18230,0.9164,21.842
ELAIS-N1,1628940,241.66335,55.16775,0.9271,26.098
ELAIS-N1,1405577,243.86361,53.00121,0.4969,21.133
ELAIS-N1,3309699,241.58171,55.11954,0.9310,27.302
ELAIS-N1,704266,242.98861,54.75990,0.7138,26.821
ELAIS-N1,1866367,241.59643,55.70632,0.9699,20.494
ELAIS-N1,2658014,241.96460,56.28056,0.4547,23.305
ELAIS-N1,1572412,243.87071,53.57254,0.7179,25.146
ELAIS-N1,311329,243.42893,54.31687,0.5056,24.548
ELAIS-N1,2369992,241.97386,54.65392,1.2646,23.731
ELAIS-N1,819817,242.61309,53.80061,0.5510,26.014
ELAIS-N1,1486021,242.65706,54.68886,1.1559,27.953
