field,SNID,RA_deg,DEC_deg,z_cmb,peakmag_Z
ELAIS-N1,3065938,243.80509,54.44887,1.4346,25.147
ELAIS-N1,122154,242.81503,55.58651,1.5966,26.566
ELAIS-N1,2325131,240.21167,52.93439,0.5860,23.579
ELAIS-N1,725953,242.20802,54.11289,1.7295,26.739
ELAIS-N1,932567,243.98888,55.59846,1.4858,25.180
ELAIS-N1,2270640,244.88004,53.69245,1.3451,25.239
ELAIS-N1,1386397,243.15451,54.85644,0.7827,23.379
ELAIS-N1,1156175,240.91918,54.97622,1.2633,24.580
ELAIS-N1,191158,242.67474,56.00475,1.8015,25.947
ELAIS-N1,1378219,245.06436,54.84446,1.6252,26.331
ELAIS-N1,3295793,244.55714,53.40386,1.8818,26.093
ELAIS-N1,1497987,243.25205,53.06687,1.1655,24.272
ELAIS-N1,2939043,243.29934,52.95848,1.7844,27.325
ELAIS-N1,2482243,242.45611,55.65824,1.7282,25.503
ELAIS-N1,1630818,242.55169,52.89825,1.4079,25.376
ELAIS-N1,1545307,240.17219,54.61675,0.6952,23.291
ELAIS-N1,2175007,244.74935,54.10088,1.0731,24.237
ELAIS-N1,2679534,241.76672,54.42489,1.7127,26.377
ELAIS-N1,2691209,241.68763,55.89724,1.4393,25.485
ELAIS-N1,1863782,242.66698,52.93439,1.1731,24.349
ELAIS-N1,1562110,245.64967,54.72463,1.8134,26.404
ELAIS-N1,204250,240.60542,54.04085,0.4255,22.365
ELAIS-N1,2971431,242.63842,55.65824,0.6507,23.019
ELAIS-N1,488655,242.62281,56.26740,1.0553,23.949
ELAIS-N1,2033962,243.25135,53.39183,1.9094,26.233
ELAIS-N1,2752529,240.23120,53.05482,1.8035,26.599
ELAIS-N1,1245036,241.10432,54.85644,2.0390,26.929
