Source_Name,RA_deg,DEC_deg,Total_flux_mJy,Peak_flux_mJy
ILTJ161926.02+534152.0,244.85843,53.69779,0.7376,0.5750
ILTJ161925.75+534835.3,244.85727,53.80983,0.9721,0.6668
ILTJ161924.87+533720.2,244.85360,53.62230,1.9936,0.5905
ILTJ161924.31+525701.9,244.85129,52.95055,0.9083,0.8852
ILTJ161924.27+534019.5,244.85114,53.67210,1.0239,0.7850
ILTJ161922.59+532005.1,244.84412,53.33476,0.8796,0.6578
ILTJ161922.49+533419.6,244.84372,53.57214,0.5810,0.4934
ILTJ161921.29+533554.2,244.83872,53.59841,1.0861,0.7509
ILTJ161919.75+533308.0,244.83229,53.55224,0.7248,0.4829
ILTJ161919.40+531844.9,244.83083,53.31249,1.5427,0.7621
ILTJ161918.96+532945.3,244.82902,53.49593,0.9448,0.6073
ILTJ161918.67+533410.9,244.82780,53.56970,6.9636,5.3565
ILTJ161916.82+531919.6,244.82008,53.32212,1.1252,0.8307
ILTJ161916.84+533415.8,244.82016,53.57108,1.9523,1.2567
ILTJ161916.29+533303.6,244.81787,53.55102,0.7814,0.5320
ILTJ161915.34+530918.1,244.81393,53.15503,1.4165,0.5952
ILTJ161913.99+530614.0,244.80830,53.10391,0.8008,0.5055
ILTJ161912.53+525741.2,244.80219,52.96146,1.0537,0.6743
ILTJ161912.15+533315.6,244.80062,53.55435,7.2961,2.1826
ILTJ161912.26+531514.4,244.80109,53.25400,2.0133,1.2564
ILTJ161910.81+534918.3,244.79503,53.82176,0.9921,0.8946
ILTJ161908.24+533339.3,244.78433,53.56094,10.8039,2.7052
ILTJ161909.34+535038.4,244.78892,53.84401,1.2471,1.0836
ILTJ161907.34+531824.2,244.78060,53.30674,80.9315,49.1320
ILTJ161905.49+525815.0,244.77288,52.97086,10.2256,5.6192
ILTJ161904.30+534704.1,244.76793,53.78448,21.9977,3.1516
ILTJ161904.14+533503.1,244.76725,53.58421,9.7212,6.1203
ILTJ161903.31+533414.4,244.76380,53.57068,15.5111,4.7021
ILTJ161903.88+525842.3,244.76615,52.97844,1.2695,0.7988
ILTJ161903.62+525541.0,244.76510,52.92807,0.4677,0.6192
ILTJ161903.68+533133.4,244.76535,53.52595,0.6843,0.4580
ILTJ161902.75+532313.9,244.76146,53.38720,16.0638,11.8538
ILTJ161901.94+533905.7,244.75807,53.65160,0.8165,0.6408
ILTJ161900.67+533308.9,244.75279,53.55248,23.1118,14.9727
ILTJ161900.90+534706.8,244.75373,53.78524,2.6403,2.1151
ILTJ161901.04+535505.3,244.75435,53.91816,0.7797,0.8645
