field,SNID,RA_deg,DEC_deg,z_cmb,peakmag_Z
ELAIS-N1,104435,241.71642,55.02412,0.3551,23.915
ELAIS-N1,122428,240.36162,53.87270,0.3599,23.157
ELAIS-N1,383132,244.81132,54.95227,0.1892,22.118
ELAIS-N1,2368786,242.86744,53.72851,0.4543,23.989
ELAIS-N1,277254,242.76504,53.51211,0.2243,23.757
ELAIS-N1,2800003,245.19720,54.38890,0.2675,23.696
ELAIS-N1,1746377,243.94121,54.25692,0.3956,23.689
ELAIS-N1,2846021,241.56208,55.82556,0.2774,23.419
ELAIS-N1,2751762,239.36265,54.77256,0.3127,23.336
ELAIS-N1,809264,241.81211,52.56075,0.3574,23.657
ELAIS-N1,3136200,240.30612,54.16090,0.2603,22.817
ELAIS-N1,194903,240.78898,53.10299,1.2228,23.701
ELAIS-N1,1305356,241.30287,54.04085,0.6989,23.444
ELAIS-N1,273168,242.34803,53.10299,0.5052,22.808
ELAIS-N1,1389041,240.25602,55.34730,0.2492,23.931
ELAIS-N1,1774461,244.60440,54.65271,0.5398,22.285
ELAIS-N1,3057631,240.89811,54.92831,2.1460,23.516
ELAIS-N1,2385422,241.99249,54.43688,1.6037,23.652
ELAIS-N1,1930609,243.35626,55.43104,1.5842,23.553
ELAIS-N1,1014362,242.52616,54.50884,1.5863,23.593
ELAIS-N1,70900,244.62602,56.06446,0.6057,23.859
ELAIS-N1,3107936,243.72997,55.25157,1.1743,23.999
ELAIS-N1,3298612,244.59776,55.84946,0.4500,23.458
ELAIS-N1,2212704,240.82853,55.78971,0.6906,23.689
ELAIS-N1,569519,242.86961,54.76058,0.4633,22.612
ELAIS-N1,1482071,243.38559,52.54869,0.5577,21.519
ELAIS-N1,2469865,240.10736,55.99280,1.7033,23.454
ELAIS-N1,122989,239.58652,55.07202,0.9628,23.116
ELAIS-N1,1744842,243.19117,55.61042,1.2663,23.671
ELAIS-N1,744683,241.90956,56.04057,1.3900,23.917
ELAIS-N1,1074761,244.18381,55.62237,2.4571,23.794
ELAIS-N1,2585128,242.86425,53.81263,1.0361,23.100
ELAIS-N1,764351,242.04716,52.77775,1.3493,23.885
ELAIS-N1,1383575,240.69309,55.62237,0.6637,23.906
ELAIS-N1,1351205,243.08696,53.94477,0.3909,22.727
ELAIS-N1,657512,240.49107,54.91633,1.4273,23.344
ELAIS-N1,2328619,241.59980,54.41289,0.4917,23.410
ELAIS-N1,2121006,245.21974,54.61675,0.4166,22.737
ELAIS-N1,2051019,243.10328,54.60476,0.7648,23.450
ELAIS-N1,461789,243.43446,55.40712,0.6887,23.903
ELAIS-N1,1888747,241.06263,56.13610,2.8556,23.696
ELAIS-N1,2289412,241.79899,55.68215,0.9442,23.355
ELAIS-N1,2921129,242.58621,52.57281,0.4851,22.956
ELAIS-N1,3133091,240.53675,53.98080,0.9075,23.886
ELAIS-N1,2034678,242.07849,54.05285,0.7993,23.025
ELAIS-N1,2762594,241.97701,54.14890,0.5874,21.129
