id,type,z,host_Z,p_sn,p_host,host_target,host_visits_needed_pfs,host_hours_needed_desi,host_hours_done,observed,host_completed
2154,Ia,0.46517,24.645,1,1,1,50,210.0,14.0,1,0
2155,Ia,1.02340,23.369,0,0,1,5,21.0,4.0,0,0
2156,Ia,0.58253,19.961,-1,-1,1,1,4.2,0.0,0,0
2157,Ia,0.41052,25.673,2,2,0,-1,-1.0,0.0,1,0
2158,Ia,0.86186,24.186,3,3,1,22,92.4,14.0,0,0
2159,Ia,0.34960,21.774,5,5,1,1,4.2,6.0,1,1
2160,Ia,0.33662,24.983,3,3,1,92,386.4,14.0,1,0
2161,Ia,1.13886,21.798,0,0,1,1,4.2,4.0,0,0
2162,Ia,0.90045,22.648,5,5,1,2,8.4,0.0,0,0
2163,Ia,0.88406,23.157,4,4,1,4,16.8,12.0,0,0
2164,Ia,0.83983,21.493,3,3,1,1,4.2,6.0,0,1
2165,Ia,0.51222,20.511,2,2,1,1,4.2,0.0,0,0
2166,Ia,0.60180,19.769,3,3,1,1,4.2,6.0,0,1
2167,Ia,0.91679,25.565,5,5,0,-1,-1.0,0.0,0,0
2168,Ia,0.60524,27.176,0,0,0,-1,-1.0,0.0,0,0
2169,Ia,0.72017,21.389,5,5,1,1,4.2,6.0,0,1
2170,Ia,0.56282,20.696,4,4,1,1,4.2,6.0,0,1
2171,Ia,0.70240,19.985,3,3,1,1,4.2,6.0,0,1
2172,Ia,0.58103,999.000,2,-1,0,-1,-1.0,0.0,0,0
2173,Ia,0.63001,21.379,5,5,1,1,4.2,6.0,0,1
2174,Ia,0.65673,22.425,1,1,1,1,4.2,6.0,1,1
2175,Ia,0.82607,21.143,0,0,1,1,4.2,0.0,0,0
2176,Ia,0.31285,19.204,3,3,1,1,4.2,6.0,1,1
2177,Ia,0.51381,20.710,0,0,1,1,4.2,6.0,1,1
2178,Ia,0.68188,20.601,3,3,1,1,4.2,6.0,0,1
2179,Ia,0.53391,20.337,0,0,1,1,4.2,6.0,0,1
2180,Ia,0.74033,20.243,4,4,1,1,4.2,6.0,0,1
2181,Ia,0.67353,22.379,4,4,1,1,4.2,4.0,0,0
2182,Ia,0.58021,21.852,4,4,1,1,4.2,6.0,0,1
2183,Ia,0.22891,21.118,0,0,1,1,4.2,0.0,1,0
2184,Ia,0.94307,22.279,2,2,1,1,4.2,4.0,0,0
2185,Ia,0.62761,21.137,0,0,1,1,4.2,6.0,0,1
2186,Ia,0.81376,22.968,4,4,1,3,12.6,12.0,0,0
2187,Ia,0.45801,20.396,2,2,1,1,4.2,6.0,1,1
2188,Ia,0.67442,20.073,0,0,1,1,4.2,6.0,0,1
2189,Ia,0.68383,25.920,4,4,0,-1,-1.0,0.0,0,0
2190,Ia,0.74450,22.394,2,2,1,1,4.2,6.0,1,1
2191,Ia,0.25122,21.882,0,0,1,1,4.2,6.0,0,1
2192,Ia,0.72056,22.307,4,4,1,1,4.2,0.0,0,0
2193,Ia,0.51688,21.517,1,1,1,1,4.2,6.0,0,1
2194,Ia,0.58711,19.985,1,1,1,1,4.2,4.0,0,0
2195,Ia,0.94368,20.721,2,2,1,1,4.2,6.0,1,1
2196,Ia,0.94732,23.870,0,0,1,13,54.6,0.0,1,0
